"Varenr";"Vare_ID";"Variant_ID";"Stregkode";"Variant";"Variant_type";"Variant_tekst"
"PN003";"71758";"71765";"PN004";"D";".";"Pure by NAT - Ørestik bogstav - D"
"PN003";"71758";"71766";"PN005";"F";".";"Pure by NAT - Ørestik bogstav - F"
"PN003";"71758";"71767";"PN006";"G";".";"Pure by NAT - Ørestik bogstav - G"
"PN003";"71758";"71768";"PN007";"H";".";"Pure by NAT - Ørestik bogstav - H"
"PN003";"71758";"71769";"PN010";"P";".";"Pure by NAT - Ørestik bogstav - P"
"PN003";"71758";"71770";"PN011";"T";".";"Pure by NAT - Ørestik bogstav - T"
"PN003";"71758";"71771";"PN012";"U";".";"Pure by NAT - Ørestik bogstav - U"
"PN003";"71758";"71772";"PN013";"V";".";"Pure by NAT - Ørestik bogstav - V"
"45557.02";"71760";"74132";"5740007506116";"GULDBELAGT";".";"Pure by Nat - Kæde ørering m. sten & pendul - Guldbelagt"
"45560.02";"71761";"74133";"5740007506185";"GULDBELAGT";".";"Pure by Nat - Kæde ørering m. sten - Guldbelagt"
"4821601";"71762";"74165";"57400075059801";"GULDBELAGT";".";"Pure by Nat - Ring med Rosa kvarts - Guldbelagt"
"4819701";"71763";"72426";"481970117";"SIZE-17-MM";".";"Pure by NAT - Fingerring Børstet finish - Size 17 mm."
"4819701";"71763";"72427";"481970118";"SIZE-18-MM";".";"Pure by NAT - Fingerring Børstet finish - Size 18 mm."
"";"71773";"71774";"EAN71774";"100 DKK";".";"Digitalt gavekort - 100 DKK"
"";"71773";"71775";"EAN71775";"250 DKK";".";"Digitalt gavekort - 250 DKK"
"";"71773";"71776";"EAN71776";"300 DKK";".";"Digitalt gavekort - 300 DKK"
"";"71773";"71777";"EAN71777";"350 DKK";".";"Digitalt gavekort - 350 DKK"
"";"71773";"71778";"EAN71778";"400 DKK";".";"Digitalt gavekort - 400 DKK"
"";"71773";"71779";"EAN71779";"500 DKK";".";"Digitalt gavekort - 500 DKK"
"";"71773";"71780";"EAN71780";"650 DKK";".";"Digitalt gavekort - 650 DKK"
"";"71773";"71781";"EAN71781";"750 DKK";".";"Digitalt gavekort - 750 DKK"
"";"71773";"71782";"EAN71782";"800 DKK";".";"Digitalt gavekort - 800 DKK"
"";"71773";"71783";"EAN71783";"900 DKK";".";"Digitalt gavekort - 900 DKK"
"182-1515";"71784";"71791";"5713541053835";"38-40";".";"Zoey - Skind Shorts MOLLY Sort - 38/40"
"182-1515";"71784";"71792";"5713541053842";"42-44";".";"Zoey - Skind Shorts MOLLY Sort - 42/44"
"CS5690-362 RICH TAN";"71785";"75240";"5712884801356";"36";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 36"
"CS5690-362 RICH TAN";"71785";"75241";"5712884801363";"37";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 37"
"CS5690-362 RICH TAN";"71785";"75242";"5712884801370";"38";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 38"
"CS5690-362 RICH TAN";"71785";"75243";"5712884801387";"39";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 39"
"CS5690-362 RICH TAN";"71785";"75244";"5712884801394";"40";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 40"
"CS5690-362 RICH TAN";"71785";"75245";"5712884801400";"41";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 41"
"212-8959-302";"71786";"75655";"5713541141280";"38-40";".";"Zoey - Bluse KENIA Stone Blue - 38/40"
"212-8959-302";"71786";"75656";"5713541141297";"42-44";".";"Zoey - Bluse KENIA Stone Blue - 42/44"
"212-8959-302";"71786";"75657";"5713541141303";"46-48";".";"Zoey - Bluse KENIA Stone Blue - 46/48"
"212-8959-302";"71786";"75658";"5713541141310";"50-52";".";"Zoey - Bluse KENIA Stone Blue - 50/52"
"213-3710-000";"71788";"75659";"5713541150916";"38-40";".";"Zoey - Bukser HANA Black - 38/40"
"213-3710-000";"71788";"75660";"5713541150923";"42-44";".";"Zoey - Bukser HANA Black - 42/44"
"213-3710-000";"71788";"75661";"5713541150930";"46-48";".";"Zoey - Bukser HANA Black - 46/48"
"213-3710-000";"71788";"75662";"5713541150947";"50-52";".";"Zoey - Bukser HANA Black - 50/52"
"4008";"71793";"71799";"4009";"85-CM";".";"New Brand Paris - Bælte Rosa snake - 85 cm"
"4008";"71793";"71800";"4010";"95-CM";".";"New Brand Paris - Bælte Rosa snake - 95 cm"
"1030-1-1-1410";"71794";"73020";"EAN73020";"W34-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W34/L86"
"1030-1-1-1410";"71794";"73021";"1030-1-14101";"W36-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W36/L80"
"1030-1-1-1410";"71794";"73022";"1030-1-14102";"W38-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W38/L80"
"1030-1-1-1410";"71794";"73023";"1030-1-14108";"W38-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W38/L86"
"1030-1-1-1410";"71794";"73024";"1013-1-14103";"W40-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W40/L80"
"1030-1-1-1410";"71794";"73025";"1030-1-14109";"W40-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W40/L86"
"1030-1-1-1410";"71794";"73026";"1030-1-14104";"W42-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W42/L80"
"1030-1-1-1410";"71794";"73027";"1030-1-141010";"W42-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W42/L86"
"1030-1-1-1410";"71794";"73028";"1030-1-14105";"W44-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W44/L80"
"1030-1-1-1410";"71794";"73029";"1030-1-141011";"W44-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W44/L86"
"1030-1-1-1410";"71794";"73030";"1030-1-14106";"W46-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W46/L80"
"1020-1-17";"71795";"74512";"5740010600016";"W36-L78";".";"ASP Jeans - Jeans NET Night Blue - W36/L78"
"1020-1-17";"71795";"74513";"5740010600023";"W38-L78";".";"ASP Jeans - Jeans NET Night Blue - W38/L78"
"1020-1-17";"71795";"74514";"5740010600085";"W38-L84";".";"ASP Jeans - Jeans NET Night Blue - W38/L84"
"1020-1-17";"71795";"74515";"5740010600030";"W40-L78";".";"ASP Jeans - Jeans NET Night Blue - W40/L78"
"1020-1-17";"71795";"74516";"5740010600092";"W40-L84";".";"ASP Jeans - Jeans NET Night Blue - W40/L84"
"1020-1-17";"71795";"74517";"5740010600047";"W42-78";".";"ASP Jeans - Jeans NET Night Blue - W42/78"
"1020-1-17";"71795";"74518";"5740010600108";"W42-L84";".";"ASP Jeans - Jeans NET Night Blue - W42/L84"
"1020-1-17";"71795";"74520";"5740010600115";"W44-84";".";"ASP Jeans - Jeans NET Night Blue - W44/84"
"1020-1-17";"71795";"74519";"5740010600054";"W44-L78";".";"ASP Jeans - Jeans NET Night Blue - W44/L78"
"1020-1-17";"71795";"74521";"5740010600061";"W46-L78";".";"ASP Jeans - Jeans NET Night Blue - W46/L78"
"10608-1-1410";"71796";"72895";"10608-1-14101";"W34-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W34/L80"
"10608-1-1410";"71796";"72896";"10608-1-14108";"W34-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W34/L86"
"10608-1-1410";"71796";"72898";"10608-1-14102";"W36-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W36/L80"
"10608-1-1410";"71796";"72897";"10608-1-14109";"W36-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W36/L86"
"10608-1-1410";"71796";"72899";"10608-1-14103";"W38-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W38/L80"
"10608-1-1410";"71796";"72900";"10608-1-141010";"W38-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W38/L86"
"10608-1-1410";"71796";"72901";"10608-1-14104";"W40-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W40/L80"
"10608-1-1410";"71796";"72902";"10608-1-141011";"W40-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W40/L86"
"10608-1-1410";"71796";"72903";"10608-1-14105";"W42-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W42/L80"
"10608-1-1410";"71796";"72904";"10608-1-14106";"W44-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W44/L80"
"10608-1-1410";"71796";"72905";"10608-1-14107";"W46-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W46/L80"
"10601-1-1710";"71797";"73004";"10601-1-17108";"W34-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W34/L80"
"10601-1-1710";"71797";"73017";"10601-1-17101";"W34-L86";".";"ASP Jeans - Jeans SELMA Dark Blue - W34/L86"
"10601-1-1710";"71797";"73009";"10601-1-17102";"W36-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W36/L80"
"10601-1-1710";"71797";"73005";"10601-1-17109";"W36-L86";".";"ASP Jeans - Jeans SELMA Dark Blue - W36/L86"
"10601-1-1710";"71797";"73010";"10601-1-17103";"W38-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W38/L80"
"10601-1-1710";"71797";"73018";"10601-1-171010";"W38-L86";".";"ASP Jeans - Jeans SELMA Dark Blue - W38/L86"
"10601-1-1710";"71797";"73011";"10601-1-17104";"W40-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W40/L80"
"10601-1-1710";"71797";"73012";"10601-1-171011";"W40-L86";".";"ASP Jeans - Jeans SELMA Dark Blue - W40/L86"
"10601-1-1710";"71797";"73013";"10601-1-17105";"W42-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W42/L80"
"10601-1-1710";"71797";"73014";"10601-1-171012";"W42-L86";".";"ASP Jeans - Jeans SELMA Dark Blue - W42/L86"
"10601-1-1710";"71797";"73015";"10601-1-17106";"W44-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W44/L80"
"10601-1-1710";"71797";"73016";"10601-1-17107";"W46-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W46/L80"
"CCH1101543";"71798";"74369";"5712116583470";"L";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Jade blue - L"
"CCH1101543";"71798";"74368";"5712116583463";"M";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Jade blue - M"
"CCH1101543";"71798";"74367";"5712116583456";"S";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Jade blue - S"
"CCH1101543";"71798";"74370";"5712116583487";"XL";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Jade blue - XL"
"CCH1101543";"71798";"74366";"5712116583449";"XS";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Jade blue - XS"
"CCH1101543";"71798";"74371";"5712116583494";"XXL";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Jade blue - XXL"
"4006";"71801";"71807";"4007";"85-CM";".";"New Brand Paris - Bælte Brun - 85 cm"
"ML2310-93";"71802";"71877";"EAN71877";"W34-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W34/L78"
"ML2310-93";"71802";"71878";"EAN71878";"W34-L84";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W34/L84"
"ML2310-93";"71802";"71859";"5712150488984";"W36-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W36/L78"
"ML2310-93";"71802";"71884";"5712150490734";"W36-L84";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W36/L84"
"ML2310-93";"71802";"71860";"EAN71860";"W38-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W38/L78"
"ML2310-93";"71802";"71885";"EAN71885";"W38-L84";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W38/L84"
"ML2310-93";"71802";"71861";"EAN71861";"W40-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W40/L78"
"ML2310-93";"71802";"71886";"EAN71886";"W40-L84";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W40/L84"
"ML2310-93";"71802";"71862";"5712150489707";"W42-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W42/L78"
"ML2310-93";"71802";"71887";"EAN71887";"W42-L84";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W42/L84"
"ML2310-93";"71802";"71863";"EAN71863";"W44-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W44/L78"
"ML2310-93";"71802";"71888";"EAN71888";"W44-L84";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W44/L84"
"ML2310-93";"71802";"71864";"EAN71864";"W46-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W46/L78"
"ML2310-93";"71802";"71889";"5712150491434";"W46-L84";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W46/L84"
"ML2310-93";"71802";"72546";"EAN72546";"W48-L78";".";"Marc Lauge - Jeans LENA 2310 Denim klassisk blå - W48/L78"
"ML2310-92961";"71804";"72854";"5712155875604";"W34-L78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W34/L78"
"ML2310-92961";"71804";"72855";"5712155875611";"W36-L78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W36/L78"
"ML2310-92961";"71804";"72856";"5712155875932";"W36-L84";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W36/L84"
"ML2310-92961";"71804";"72857";"5712155875628";"W38-L78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W38/L78"
"ML2310-92961";"71804";"72858";"5712155875949";"W38-L84";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W38/L84"
"ML2310-92961";"71804";"72859";"5712155875635";"W40-L78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W40/L78"
"ML2310-92961";"71804";"72860";"5712155875956";"W40-L84";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W40/L84"
"ML2310-92961";"71804";"72861";"5712155875642";"W42-78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W42/78"
"ML2310-92961";"71804";"72862";"5712155875963";"W42-L84";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W42/L84"
"ML2310-92961";"71804";"72863";"5712155875970";"W44-84";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W44/84"
"ML2310-92961";"71804";"72864";"5712155875659";"W44-L78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W44/L78"
"ML2310-92961";"71804";"72865";"5712155875666";"W46-L78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W46/L78"
"ML2310-92961";"71804";"72866";"5712155875987";"W46-L84";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W46/L84"
"ML2310-92961";"71804";"72867";"5712155875673";"W48-L78";".";"Marc Lauge - Jeans LENA 2310 Medium Blue - W48/L78"
"204-0454000";"71805";"73094";"5713541127161";"38-40";".";"Zoey - T-shirt HELENA Black - 38/40"
"204-0454000";"71805";"73095";"5713541127178";"42-44";".";"Zoey - T-shirt HELENA Black - 42/44"
"204-0454000";"71805";"73096";"5713541127185";"46-48";".";"Zoey - T-shirt HELENA Black - 46/48"
"204-0454000";"71805";"73097";"5713541127192";"50-52";".";"Zoey - T-shirt HELENA Black - 50/52"
"203-5652000";"71806";"72749";"5713541121145";"38-40";".";"Zoey - T-shirt Willa Black - 38/40"
"203-5652000";"71806";"72750";"5713541121152";"42-44";".";"Zoey - T-shirt Willa Black - 42/44"
"203-5652000";"71806";"72751";"5713541121169";"46-48";".";"Zoey - T-shirt Willa Black - 46/48"
"203-5652000";"71806";"72752";"5713541121176";"50-52";".";"Zoey - T-shirt Willa Black - 50/52"
"10608-1-20";"71809";"75724";"5740010601624";"W34-L80";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W34/L80"
"10608-1-20";"71809";"75725";"EAN75725";"W34-L86";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W34/L86"
"10608-1-20";"71809";"75726";"5740010601631";"W36-L80";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W36/L80"
"10608-1-20";"71809";"75727";"5740010601693";"W36-L86";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W36/L86"
"10608-1-20";"71809";"75728";"5740010601648";"W38-L80";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W38/L80"
"10608-1-20";"71809";"75729";"5740010601709";"W38-L86";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W38/L86"
"10608-1-20";"71809";"75730";"5740010601655";"W40-L80";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W40/L80"
"10608-1-20";"71809";"75731";"5740010601716";"W40-L86";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W40/L86"
"10608-1-20";"71809";"75732";"5740010601662";"W42-L80";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W42/L80"
"10608-1-20";"71809";"75735";"5740010601723";"W42-L86";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W42/L86"
"10608-1-20";"71809";"75733";"5740010601679";"W44-L80";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W44/L80"
"10608-1-20";"71809";"75734";"5740010601686";"W46-L80";".";"ASP Jeans - Jeans SASHMAL Dark Blue - W46/L80"
"124049Lightblue";"71810";"72837";"5714637916317";"27";".";"Freequent - Ankel jeans BAGGER Light Blue - 27"
"124049Lightblue";"71810";"72838";"5714637916324";"28";".";"Freequent - Ankel jeans BAGGER Light Blue - 28"
"124049Lightblue";"71810";"72841";"5714637916331";"29";".";"Freequent - Ankel jeans BAGGER Light Blue - 29"
"124049Lightblue";"71810";"72842";"5714637916348";"30";".";"Freequent - Ankel jeans BAGGER Light Blue - 30"
"124049Lightblue";"71810";"72843";"5714637916355";"31";".";"Freequent - Ankel jeans BAGGER Light Blue - 31"
"124049Lightblue";"71810";"72844";"5714637916362";"32";".";"Freequent - Ankel jeans BAGGER Light Blue - 32"
"124049Lightblue";"71810";"72845";"5714637916379";"33";".";"Freequent - Ankel jeans BAGGER Light Blue - 33"
"126252mediumblå";"71811";"73984";"5715167387318";"27";".";"Freequent - Jeans HARLOW BROKEN Medium blå - 27"
"126252mediumblå";"71811";"73985";"5715167387325";"28";".";"Freequent - Jeans HARLOW BROKEN Medium blå - 28"
"126252mediumblå";"71811";"73986";"5715167387332";"29";".";"Freequent - Jeans HARLOW BROKEN Medium blå - 29"
"126252mediumblå";"71811";"73996";"5715167387349";"30";".";"Freequent - Jeans HARLOW BROKEN Medium blå - 30"
"126252mediumblå";"71811";"73997";"5715167387356";"31";".";"Freequent - Jeans HARLOW BROKEN Medium blå - 31"
"126252mediumblå";"71811";"73998";"5715167387363";"32";".";"Freequent - Jeans HARLOW BROKEN Medium blå - 32"
"126252mediumblå";"71811";"73999";"5715167387370";"33";".";"Freequent - Jeans HARLOW BROKEN Medium blå - 33"
"MLC83859296";"71812";"72757";"5712155027966";"L";".";"Marc Lauge - Denim jakke SINCE Medium Blue - L"
"MLC83859296";"71812";"72756";"5712155027973";"M";".";"Marc Lauge - Denim jakke SINCE Medium Blue - M"
"MLC83859296";"71812";"72755";"5712155027980";"S";".";"Marc Lauge - Denim jakke SINCE Medium Blue - S"
"MLC83859296";"71812";"72758";"5712155027997";"XL";".";"Marc Lauge - Denim jakke SINCE Medium Blue - XL"
"MLC83859296";"71812";"72759";"5712155028000";"XXL";".";"Marc Lauge - Denim jakke SINCE Medium Blue - XXL"
"111200Black";"71822";"71830";"5710402879450";"L";".";"Free|quent - Højtaljet stretch bukser Shantal power Black - L"
"111200Black";"71822";"71829";"5710402879467";"M";".";"Free|quent - Højtaljet stretch bukser Shantal power Black - M"
"111200Black";"71822";"71828";"5710402879474";"S";".";"Free|quent - Højtaljet stretch bukser Shantal power Black - S"
"111200Black";"71822";"71831";"5710402879481";"XL";".";"Free|quent - Højtaljet stretch bukser Shantal power Black - XL"
"111200Black";"71822";"71909";"5710402879498";"XS";".";"Free|quent - Højtaljet stretch bukser Shantal power Black - XS"
"111200Black";"71822";"71832";"5710402879504";"XXL";".";"Free|quent - Højtaljet stretch bukser Shantal power Black - XXL"
"125860Chambrayblue";"71825";"74936";"5715167495334";"L";".";"Freequent - Skjorte FRANCES BASIC Chambray Blue - L"
"125860Chambrayblue";"71825";"74935";"5715167495341";"M";".";"Freequent - Skjorte FRANCES BASIC Chambray Blue - M"
"125860Chambrayblue";"71825";"74934";"5715167495358";"S";".";"Freequent - Skjorte FRANCES BASIC Chambray Blue - S"
"125860Chambrayblue";"71825";"74937";"5715167495365";"XL";".";"Freequent - Skjorte FRANCES BASIC Chambray Blue - XL"
"125860Chambrayblue";"71825";"74938";"5715167495389";"XXL";".";"Freequent - Skjorte FRANCES BASIC Chambray Blue - XXL"
"254-12";"71827";"72083";"BK11";"one-size";".";"Bæltekompagniet - Tørklæde Mørk blå - One size"
"115241Black";"71833";"71843";"5712758574546";"L";".";"Free|quent - Blazer NANNI Black - L"
"115241Black";"71833";"71842";"5712758574553";"M";".";"Free|quent - Blazer NANNI Black - M"
"115241Black";"71833";"71841";"5712758574560";"S";".";"Free|quent - Blazer NANNI Black - S"
"115241Black";"71833";"71844";"5712758574577";"XL";".";"Free|quent - Blazer NANNI Black - XL"
"115241Black";"71833";"71845";"5712758574591";"XXL";".";"Free|quent - Blazer NANNI Black - XXL"
"CS5772White";"71834";"73259";"5712884885257";"36";".";"Copenhagen Shoes - Sneakers KEEP GOING White - 36"
"CS5772White";"71834";"73260";"5712884885264";"37";".";"Copenhagen Shoes - Sneakers KEEP GOING White - 37"
"CS5772White";"71834";"73261";"5712884885271";"38";".";"Copenhagen Shoes - Sneakers KEEP GOING White - 38"
"CS5772White";"71834";"73267";"5712884885288";"39";".";"Copenhagen Shoes - Sneakers KEEP GOING White - 39"
"CS5772White";"71834";"73268";"5712884885295";"40";".";"Copenhagen Shoes - Sneakers KEEP GOING White - 40"
"CS5772White";"71834";"73269";"5712884885301";"41";".";"Copenhagen Shoes - Sneakers KEEP GOING White - 41"
"118087Black";"71835";"72799";"5713837135429";"L";".";"Free|quent - Bukser NANNI ANKEL Black - L"
"118087Black";"71835";"72798";"5713837135436";"M";".";"Free|quent - Bukser NANNI ANKEL Black - M"
"118087Black";"71835";"72797";"5713837135443";"S";".";"Free|quent - Bukser NANNI ANKEL Black - S"
"118087Black";"71835";"72800";"5713837135450";"XL";".";"Free|quent - Bukser NANNI ANKEL Black - XL"
"118087Black";"71835";"72796";"5713837135467";"XS";".";"Free|quent - Bukser NANNI ANKEL Black - XS"
"118087Black";"71835";"72801";"5713837135474";"XXL";".";"Free|quent - Bukser NANNI ANKEL Black - XXL"
"B2012-GP";"71836";"71966";"B2012";"GULDBELAGT";".";"Wioga - Armbånd Beate - Guldbelagt"
"203-3916484";"71837";"72741";"5713541125358";"38";".";"Zoey - Jeans FIA Light Denim Blue - 38"
"203-3916484";"71837";"72742";"5713541125365";"40";".";"Zoey - Jeans FIA Light Denim Blue - 40"
"203-3916484";"71837";"72743";"5713541125372";"42";".";"Zoey - Jeans FIA Light Denim Blue - 42"
"203-3916484";"71837";"72744";"5713541125389";"44";".";"Zoey - Jeans FIA Light Denim Blue - 44"
"203-3916484";"71837";"72745";"5713541125396";"46";".";"Zoey - Jeans FIA Light Denim Blue - 46"
"203-3916484";"71837";"72746";"5713541125402";"48";".";"Zoey - Jeans FIA Light Denim Blue - 48"
"120962Black";"71838";"72988";"5713837949712";"L";".";"Freequent - Strop top BICCO Black - L"
"120962Black";"71838";"72987";"5713837949729";"M";".";"Freequent - Strop top BICCO Black - M"
"120962Black";"71838";"72986";"5713837949736";"S";".";"Freequent - Strop top BICCO Black - S"
"120962Black";"71838";"72989";"5713837949743";"XL";".";"Freequent - Strop top BICCO Black - XL"
"120962Black";"71838";"72985";"5713837949750";"XS";".";"Freequent - Strop top BICCO Black - XS"
"120962Black";"71838";"72990";"5713837949767";"XXL";".";"Freequent - Strop top BICCO Black - XXL"
"181005598";"71846";"71853";"5712644596393";"one-size";".";"Sneaky Fox - Strømpebukser  Mint - One size"
"796283127";"71850";"72310";"5712644662180";"STR-37-39";".";"mp - Ankel strømper Pernille Brown - Str. 37/39"
"796283127";"71850";"72311";"5712644662197";"STR-40-42";".";"mp - Ankel strømper Pernille Brown - Str. 40/42"
"2114Rose";"71851";"74124";"5715077058414";"one-size";".";"Black Colour - Hårbøjle ANTONETTE SOLID Rose - One size"
"14958099Black";"71852";"74889";"5712599233916";"one-size";".";"Depeche - Skind hårbøjle Black - One size"
"CCH1101129";"71858";"73690";"5712116361023";"L";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Light Grey - L"
"CCH1101129";"71858";"73689";"5712116360941";"M";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Light Grey - M"
"CCH1101129";"71858";"73688";"5712116360866";"S";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Light Grey - S"
"CCH1101129";"71858";"73691";"5712116361108";"XL";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Light Grey - XL"
"CCH1101129";"71858";"73687";"5712116360781";"XS";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Light Grey - XS"
"CCH1101129";"71858";"73692";"5712116361184";"XXL";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART Light Grey - XXL"
"111200 Salute";"71865";"71874";"5712758200391";"L";".";"Free|quent - Højtaljet stretch bukser Shantal power Salute - L"
"111200 Salute";"71865";"71873";"5712758200407";"M";".";"Free|quent - Højtaljet stretch bukser Shantal power Salute - M"
"111200 Salute";"71865";"71872";"5712758200414";"S";".";"Free|quent - Højtaljet stretch bukser Shantal power Salute - S"
"111200 Salute";"71865";"71875";"5712758200421";"XL";".";"Free|quent - Højtaljet stretch bukser Shantal power Salute - XL"
"111200 Salute";"71865";"72432";"5712758200438";"XS";".";"Free|quent - Højtaljet stretch bukser Shantal power Salute - XS"
"111200 Salute";"71865";"71876";"5712758200445";"XXL";".";"Free|quent - Højtaljet stretch bukser Shantal power Salute - XXL"
"7183-2147633";"71867";"74002";"5713563744377";"L";".";"Luxzuz One Two - Mesh bluse SIGBORG Army - L"
"7183-2147633";"71867";"74001";"5713563744360";"M";".";"Luxzuz One Two - Mesh bluse SIGBORG Army - M"
"7183-2147633";"71867";"74000";"5713563744353";"S";".";"Luxzuz One Two - Mesh bluse SIGBORG Army - S"
"7183-2147633";"71867";"74003";"5713563744384";"XL";".";"Luxzuz One Two - Mesh bluse SIGBORG Army - XL"
"7183-2147633";"71867";"74004";"5713563744391";"XXL";".";"Luxzuz One Two - Mesh bluse SIGBORG Army - XXL"
"CCH1101200";"71869";"73396";"5712116361054";"L";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART White - L"
"CCH1101200";"71869";"73395";"5712116360972";"M";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART White - M"
"CCH1101200";"71869";"73394";"5712116360897";"S";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART White - S"
"CCH1101200";"71869";"73397";"5712116361139";"XL";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART White - XL"
"CCH1101200";"71869";"73393";"5712116360811";"XS";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART White - XS"
"CCH1101200";"71869";"73398";"5712116361214";"XXL";".";"Coster Copenhagen - Basic v-neck t-shirt CC HEART White - XXL"
"124461Birchmix";"71871";"73615";"5715167097644";"L";".";"Freequent - T-shirt TIOP Birch mix - L"
"124461Birchmix";"71871";"73614";"5715167097651";"M";".";"Freequent - T-shirt TIOP Birch mix - M"
"124461Birchmix";"71871";"73613";"5715167097668";"S";".";"Freequent - T-shirt TIOP Birch mix - S"
